descriptio,flood_cd,perimeter,Shape_Length,Shape_Area
Floodway,200.000000000000000,37.15694,0.000522139050183,0.000000002473231
Flood Fringe,100.000000000000000,null,0.001726525803829,0.000000119314908
Flood Fringe,100.000000000000000,null,0.000296422903185,0.000000001097768
Normal River Channel,500.000000000000000,652.091,0.008739224856790,0.000002515989940
Floodway,200.000000000000000,30.05814,0.000342194497335,0.000000001925132
Floodway,200.000000000000000,1016.1365,0.011503440619498,0.000002262014118
Floodway,200.000000000000000,280.85667,0.003789650475388,0.000000065810538
Floodway,200.000000000000000,6257.27417,0.083484163042664,0.000019346428030
Flood Fringe,100.000000000000000,23.80803,0.000269944133983,0.000000003558764
Normal River Channel,500.000000000000000,758.64424,0.009926641883789,0.000000615352755
Floodway,200.000000000000000,1245.6079,0.015882542168650,0.000001151063092
Flood Fringe,100.000000000000000,98.37613,0.001135214636699,0.000000065241545
Floodway,200.000000000000000,15.2274,0.000198907299155,0.000000001350103
Flood Fringe,100.000000000000000,null,0.003962758597660,0.000000111369952
Flood Fringe,100.000000000000000,null,0.013171040845830,0.000001056657648
Flood Fringe,100.000000000000000,null,0.002245383350520,0.000000179690170
Flood Fringe,100.000000000000000,null,0.000436938259988,0.000000007431139
Flood Fringe,100.000000000000000,null,0.005670981324791,0.000000490946160
Flood Fringe,100.000000000000000,null,0.011427846107422,0.000000979593466
Flood Fringe,100.000000000000000,null,0.008377313604995,0.000001978685173
Normal River Channel,500.000000000000000,19468.71546,0.062384613711281,0.000002234844885
Floodway,200.000000000000000,2203.98299,0.026419465442828,0.000012046199211
Floodway,200.000000000000000,103.12881,0.001332217578115,0.000000043156735
Floodway,200.000000000000000,38.72225,0.000510876847757,0.000000005760536
Flood Fringe,100.000000000000000,null,0.000189081972981,0.000000000883289
Floodway,200.000000000000000,4169.65455,0.001847403887550,0.000000017958722
Floodway,200.000000000000000,156.92345,0.002155520538495,0.000000109964648
Flood Fringe,100.000000000000000,null,0.004328567360894,0.000000402367774
